,subdomain,Substack reactions,Tweet Count,rankingDetailFreeIncluded,rankingDetailFreeIncludedOrderOfMagnitude
308,jorosenthal,21.0,0,Thousands of readers,1000.0
309,joseandres,306.0,17,Tens of thousands of readers,10000.0
310,josephmassey,102.0,123,Thousands of readers,1000.0
311,joshuajames,4.0,0,Tens of thousands of readers,10000.0
312,joshuawilliamson,0.0,4,Hundreds of readers,100.0
313,juliaturshen,107.0,0,Tens of thousands of readers,10000.0
314,kaloh,41.0,0,Thousands of readers,1000.0
315,kamea,5.0,0,Thousands of readers,1000.0
316,kameelahr,9.0,0,Hundreds of readers,100.0
317,kareem,1777.0,0,Tens of thousands of readers,10000.0
318,katehillfrance,90.0,0,Thousands of readers,1000.0
319,katemckean,155.0,20,Tens of thousands of readers,10000.0
320,kateseward,6.0,0,Hundreds of readers,100.0
321,katespeer,0.0,0,Thousands of readers,1000.0
322,katherineormerod,334.0,0,Thousands of readers,1000.0
323,kellyoxford,408.0,0,Tens of thousands of readers,10000.0
324,kendraaustin,0.0,0,Thousands of readers,1000.0
325,kermankohli,12.0,4,Thousands of readers,1000.0
326,kevinbarrett,107.0,16,Thousands of readers,1000.0
327,kevinmlevin,186.0,35,Thousands of readers,1000.0
328,kevinmorby,0.0,0,Thousands of readers,1000.0
329,kirkegaard,72.0,64,Thousands of readers,1000.0
330,kitchenprojects,164.0,0,Tens of thousands of readers,10000.0
331,klcpress,152.0,3,Thousands of readers,1000.0
332,knicksfilmschool,247.0,0,Thousands of readers,1000.0
333,knowlandknows,78.0,77,Thousands of readers,1000.0
334,krystalkyleandfriends,231.0,6,Tens of thousands of readers,10000.0
335,kyla,299.0,52,Tens of thousands of readers,10000.0
336,landdesk,45.0,1,Thousands of readers,1000.0
337,laurakellyfanucci,89.0,0,Thousands of readers,1000.0
338,laurathomas,86.0,0,Thousands of readers,1000.0
339,lawrencekrauss,68.0,26,Thousands of readers,1000.0
340,leandramcohen,0.0,0,Tens of thousands of readers,10000.0
341,lenny,537.0,83,Hundreds of thousands of readers,100000.0
342,lesleychesterman,55.0,14,Thousands of readers,1000.0
343,lettersofnote,243.0,12,Tens of thousands of readers,10000.0
344,levellerconfidential,9.0,0,Thousands of readers,1000.0
345,lewisporter,40.0,0,Thousands of readers,1000.0
346,lex,129.0,24,Tens of thousands of readers,10000.0
347,lianafinck,242.0,3,Thousands of readers,1000.0
348,libertyrpf,130.0,204,Tens of thousands of readers,10000.0
349,linhdinh,168.0,0,Thousands of readers,1000.0
350,lisamariedonovan,14.0,2,Hundreds of readers,100.0
351,lisaolivera,528.0,0,Tens of thousands of readers,10000.0
352,litmagnews,128.0,28,Thousands of readers,1000.0
353,logoarchive,18.0,12,Thousands of readers,1000.0
354,lordcowboy,56.0,0,Thousands of readers,1000.0
355,lordfed,204.0,129,Thousands of readers,1000.0
356,lorefergusonwilbert,109.0,11,Thousands of readers,1000.0
357,maajidnawaz,519.0,334,Tens of thousands of readers,10000.0
358,madge,23.0,34,Tens of readers,10.0
359,mangasplaining,4.0,0,Thousands of readers,1000.0
360,marciatiburi,22.0,0,Hundreds of readers,100.0
361,marcstein,186.0,28,Tens of thousands of readers,10000.0
362,mariannewilliamson,1917.0,0,,
363,marinaamaral,6.0,16,Thousands of readers,1000.0
364,marleegrace,286.0,0,Tens of thousands of readers,10000.0
365,martyrmade,723.0,48,Tens of thousands of readers,10000.0
366,masoncurrey,138.0,2,Tens of thousands of readers,10000.0
367,matchquarters,20.0,134,Thousands of readers,1000.0
368,materialgirrrrl,0.0,0,Hundreds of readers,100.0
369,matthewcklein,116.0,39,Tens of thousands of readers,10000.0
370,matthewyglesias,2873.0,292,Tens of thousands of readers,10000.0
371,mattlabash,306.0,0,Tens of thousands of readers,10000.0
372,mattmiller,8.0,76,Tens of thousands of readers,10000.0
373,mattstoller,612.0,130,Tens of thousands of readers,10000.0
374,mattyselman,9.0,0,Hundreds of readers,100.0
375,mccormickmd,39.0,0,Hundreds of readers,100.0
376,mcrawford,37.0,0,Hundreds of readers,100.0
377,mdcbowen,80.0,6,Thousands of readers,1000.0
378,melindawmoyer,88.0,13,Thousands of readers,1000.0
379,memoirmonday,0.0,3,Tens of thousands of readers,10000.0
380,michaelbhorn,19.0,15,Tens of thousands of readers,10000.0
381,michaelfbird,135.0,40,Thousands of readers,1000.0
382,michaelmoore,2749.0,0,Hundreds of thousands of readers,100000.0
383,michaelperry,64.0,9,Thousands of readers,1000.0
384,michaelshellenberger,2141.0,40,Tens of thousands of readers,10000.0
385,mikeyopp,70.0,2,Hundreds of readers,100.0
386,mindybelz,15.0,1,Thousands of readers,1000.0
387,mlcavanaugh,6.0,1,Thousands of readers,1000.0
388,mnchiefsfan,1000.0,62,Thousands of readers,1000.0
389,mollyknight,362.0,65,Thousands of readers,1000.0
390,mollywizenberg,88.0,0,Thousands of readers,1000.0
391,momspreading,28.0,2,Thousands of readers,1000.0
392,mostfavourednation,19.0,20,Thousands of readers,1000.0
393,mskawi,1.0,0,Thousands of readers,1000.0
394,mule,61.0,25,Tens of thousands of readers,10000.0
395,murraybridgenews,48.0,6,Thousands of readers,1000.0
