,Substack Readership Rank,Twitter Followers
188,"Tens of
thousands
of readers",113168.0
189,"Tens of
thousands
of readers",65247.0
190,"Tens of
thousands
of readers",27202.0
192,"Thousands
of readers",93515.0
194,"Thousands
of readers",62011.0
195,"Thousands
of readers",1068.0
196,"Thousands
of readers",66345.0
197,"Thousands
of readers",72066.0
199,"Tens of
thousands
of readers",44799.0
200,"Thousands
of readers",28523.0
201,"Tens of
thousands
of readers",1990.0
202,"Tens of
thousands
of readers",17.0
204,"Thousands
of readers",11434.0
205,"Thousands
of readers",5784.0
206,"Tens of
thousands
of readers",642.0
207,"Thousands
of readers",
208,"Hundreds
of readers",274.0
209,"Thousands
of readers",4767.0
210,"Thousands
of readers",6078.0
211,"Thousands
of readers",1756.0
212,"Hundreds
of thousands
of readers",181677.0
215,"Tens of
thousands
of readers",5753.0
216,"Tens of
thousands
of readers",8257.0
217,"Tens of
thousands
of readers",3670.0
219,"Tens of
thousands
of readers",23376.0
220,"Tens of
thousands
of readers",6830.0
222,"Tens of
thousands
of readers",27608.0
223,"Thousands
of readers",35602.0
224,"Thousands
of readers",31800.0
225,"Thousands
of readers",3528.0
226,"Thousands
of readers",936.0
227,"Tens of
thousands
of readers",713911.0
228,"Thousands
of readers",1009.0
230,"Thousands
of readers",100692.0
231,"Thousands
of readers",74006.0
232,"Tens of
thousands
of readers",255152.0
233,"Tens of
thousands
of readers",41050.0
234,"Thousands
of readers",14102.0
235,"Thousands
of readers",
236,"Tens of
thousands
of readers",66632.0
238,"Tens of
thousands
of readers",76479.0
239,"Tens of
thousands
of readers",544553.0
240,"Tens of
thousands
of readers",145013.0
241,Readership N/A,1254310.0
243,"Tens of
thousands
of readers",3063.0
244,"Thousands
of readers",2636.0
247,"Thousands
of readers",2242.0
248,"Tens of
thousands
of readers",15261.0
250,"Thousands
of readers",
251,"Thousands
of readers",172541.0
252,"Thousands
of readers",4267.0
254,"Thousands
of readers",14186.0
255,"Thousands
of readers",4729.0
256,Readership N/A,243645.0
257,"Thousands
of readers",29223.0
258,"Thousands
of readers",17670.0
261,"Tens of
thousands
of readers",3395.0
262,"Tens of
thousands
of readers",
263,"Tens of
thousands
of readers",246256.0
265,"Thousands
of readers",114595.0
266,"Tens of
thousands
of readers",381030.0
267,"Thousands
of readers",220457.0
268,"Thousands
of readers",143916.0
269,"Tens of
thousands
of readers",77531.0
270,"Thousands
of readers",1944.0
271,"Tens of
thousands
of readers",1244.0
272,"Thousands
of readers",212109.0
273,"Thousands
of readers",10014.0
275,"Hundreds
of readers",3762.0
277,"Thousands
of readers",18263.0
278,"Thousands
of readers",44980.0
